Timestamp,rpm,pressure_mb,temp_c,humidity_pct
2026-02-15 11:25:25,10.0,1006.0,23.9,48.1,40.0
2026-02-15 11:25:26,10.0,1006.0,23.9,48.1,40.0
2026-02-15 11:25:27,10.0,1006.3,23.9,48.1,40.0
2026-02-15 11:25:28,10.0,1005.8,23.9,48.1,40.0
2026-02-15 11:25:29,10.0,1005.8,23.9,48.1,40.0
2026-02-15 11:25:30,10.0,1006.0,24.0,48.1,40.0
2026-02-15 11:25:31,10.0,1006.0,24.0,48.1,40.0
2026-02-15 11:25:32,10.0,1005.8,24.0,48.1,40.0
2026-02-15 11:25:33,10.0,1006.0,24.0,48.1,40.0
2026-02-15 11:25:34,10.0,1006.0,24.0,48.1,40.0
2026-02-15 11:25:35,10.0,1005.8,24.0,48.1,40.0
2026-02-15 11:25:36,10.0,1005.7,24.0,48.1,40.0
2026-02-15 11:25:37,10.0,1005.8,24.0,48.1,40.0
2026-02-15 11:25:38,10.0,1005.8,24.0,48.1,40.0
2026-02-15 11:25:39,10.0,1005.7,24.0,48.1,40.0
2026-02-15 11:25:40,10.0,1006.0,24.0,48.1,40.0
2026-02-15 11:25:41,10.0,1006.0,24.0,48.0,40.0
2026-02-15 11:25:42,10.0,1005.8,24.0,48.0,40.0
2026-02-15 11:25:43,10.0,1006.0,24.0,48.0,40.0
2026-02-15 11:25:44,10.0,1006.0,24.0,48.0,40.0
2026-02-15 11:25:45,10.0,1006.0,24.0,48.0,40.0
2026-02-15 11:25:46,10.0,1006.0,24.0,48.0,40.0
2026-02-15 11:25:47,10.0,1005.8,24.0,48.0,40.0
2026-02-15 11:25:48,10.0,1006.0,24.0,48.0,40.0
2026-02-15 11:25:49,10.0,1006.0,24.0,48.0,40.0
2026-02-15 11:25:50,10.0,1006.3,24.0,48.0,40.0
2026-02-15 11:25:51,10.0,1005.7,24.0,48.0,40.0
2026-02-15 11:25:52,10.0,1006.3,24.0,48.0,40.0
2026-02-15 11:25:53,10.0,1005.8,24.0,48.0,40.0
2026-02-15 11:25:54,10.0,1006.0,24.0,48.0,40.0
2026-02-15 11:25:55,10.0,1006.0,24.0,48.0,40.0
2026-02-15 11:25:56,10.0,1005.8,24.0,48.0,40.0
2026-02-15 11:25:57,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:25:58,10.0,1006.3,23.9,48.0,40.0
2026-02-15 11:25:59,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:26:00,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:26:01,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:26:02,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:26:03,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:26:04,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:26:05,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:26:06,10.0,1006.3,23.9,48.0,40.0
2026-02-15 11:26:07,10.0,1006.3,23.9,48.0,40.0
2026-02-15 11:26:08,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:26:09,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:26:10,10.0,1006.3,23.9,48.0,40.0
2026-02-15 11:26:11,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:26:12,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:26:13,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:26:14,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:26:15,10.0,1006.3,23.9,48.0,40.0
2026-02-15 11:26:16,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:26:17,10.0,1006.3,23.9,48.0,40.0
2026-02-15 11:26:18,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:26:19,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:26:20,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:26:21,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:26:22,10.0,1006.3,23.9,48.0,40.0
2026-02-15 11:26:23,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:26:24,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:26:25,10.0,1006.3,23.9,48.0,40.0
2026-02-15 11:26:26,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:26:27,10.0,1005.8,23.9,48.0,40.0
2026-02-15 11:26:28,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:26:29,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:26:30,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:26:31,10.0,1006.3,23.9,48.0,40.0
2026-02-15 11:26:32,10.0,1005.8,23.9,48.0,40.0
2026-02-15 11:26:33,10.0,1006.3,23.9,48.0,40.0
2026-02-15 11:26:34,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:26:35,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:26:36,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:26:37,10.0,1006.3,23.9,48.0,40.0
2026-02-15 11:26:38,10.0,1006.0,23.9,48.0,40.0
2026-02-15 11:26:39,10.0,1005.8,23.8,48.0,40.0
2026-02-15 11:26:40,10.0,1005.8,23.8,48.0,40.0
2026-02-15 11:26:41,10.0,1006.0,23.8,48.0,40.0
2026-02-15 11:26:42,10.0,1006.0,23.8,48.0,40.0
2026-02-15 11:26:43,10.0,1006.0,23.8,48.0,40.0
2026-02-15 11:26:44,10.0,1006.0,23.8,48.0,40.0
2026-02-15 11:26:45,10.0,1005.8,23.8,48.0,40.0
2026-02-15 11:26:46,10.0,1005.8,23.8,48.0,40.0
2026-02-15 11:26:47,10.0,1005.8,23.8,48.0,40.0
