Timestamp,ErrorNumber,ErrorInstance,ErrorParameter,ErrorText,LDD_ActualOutputCurrent,LDD_ActualOutputVoltage,LDD_ActualOutputCurrentRaw,LDD_ActualAnodeVoltage,LDD_ActualCathodeVoltage,LDD_NominalOutputCurrentRamp,TEC_TargetObjectTemperature,TEC_NominalObjectTemperatureRamp,TEC_ThermalPowerModelCurrent,TEC_ActualOutputCurrent,TEC_ActualOutputVoltage,TEC_ObjectTemperature,TEC_SinkTemperature,AnalogVoltageInputRawADC,AnalogVoltageInput,LaserPower,OutputLevel,DriverInputVoltage,Internal8V,Internal5V,Internal3V3,InternalMinus3V3,DeviceTemperature,PowerstageTemperature
2026-02-09 07:33:07,0,0,0,,1.40,3.60,30445,4.55,0.94,1.40,35.00,50.16,-0.53,-0.72,-3.32,50.18,-44.99,2,-0.00,0.00,1.00,12.13,7.89,5.00,3.20,-3.28,57.24,57.24
2026-02-09 07:33:07,0,0,0,,1.40,3.59,30438,4.55,0.94,1.40,35.00,50.16,-0.36,-0.36,-1.95,50.20,-34.92,1,-0.00,0.00,1.00,12.13,7.90,4.99,3.20,-3.29,57.29,57.29
2026-02-09 07:33:07,0,0,0,,1.40,3.59,30438,4.54,0.95,1.40,35.00,50.16,-0.41,-0.33,-1.83,50.20,-38.77,1,-0.00,0.00,1.00,12.13,7.89,5.00,3.20,-3.28,57.28,57.28
2026-02-09 07:33:08,0,0,0,,1.40,3.59,30438,4.54,0.93,1.40,35.00,50.16,-0.28,-0.34,-1.88,50.21,-33.66,2,-0.00,0.00,1.00,12.13,7.89,4.99,3.20,-3.29,57.28,57.28
2026-02-09 07:33:08,0,0,0,,1.40,3.60,30440,4.54,0.94,1.40,35.00,50.16,-0.10,-0.10,-0.95,50.21,-28.02,1,0.00,0.00,1.00,12.14,7.89,4.99,3.20,-3.28,57.26,57.26
2026-02-09 07:33:08,0,0,0,,1.40,3.60,30437,4.55,0.93,1.40,35.00,50.16,-0.17,-0.17,-1.22,50.22,-35.96,1,-0.00,0.00,1.00,12.13,7.89,4.99,3.20,-3.28,57.27,57.27
2026-02-09 07:33:08,0,0,0,,1.40,3.59,30438,4.54,0.94,1.40,35.00,50.16,-0.38,-0.30,-1.70,50.23,-39.83,2,0.00,0.00,1.00,12.13,7.89,4.99,3.20,-3.28,57.28,57.28
2026-02-09 07:33:09,0,0,0,,1.40,3.59,30437,4.54,0.94,1.40,35.00,50.16,-0.61,-0.50,-2.48,50.24,-54.36,1,-0.00,0.00,1.00,12.12,7.89,4.99,3.20,-3.28,57.29,57.29
2026-02-09 07:33:09,0,0,0,,1.40,3.59,30440,4.54,0.95,1.40,35.00,50.15,-0.49,-0.52,-2.59,50.24,-38.95,2,0.00,0.00,1.00,12.13,7.90,4.99,3.20,-3.28,57.29,57.29
2026-02-09 07:33:09,0,0,0,,1.40,3.59,30435,4.54,0.95,1.40,35.00,50.15,-0.17,-0.18,-1.29,50.25,-29.35,2,-0.00,0.00,1.00,12.14,7.89,4.99,3.20,-3.28,57.29,57.29
2026-02-09 07:33:09,0,0,0,,1.40,3.59,30437,4.53,0.96,1.40,35.00,50.15,-0.22,-0.21,-1.40,50.26,-33.04,1,-0.00,0.00,1.00,12.14,7.90,4.99,3.20,-3.29,57.25,57.25
2026-02-09 07:33:10,0,0,0,,1.40,3.58,30440,4.53,0.96,1.40,35.00,50.15,-0.38,-0.24,-1.83,50.26,-43.42,1,-0.00,0.00,1.00,12.13,7.89,4.99,3.20,-3.28,57.21,57.19
2026-02-09 07:33:10,0,0,0,,1.40,3.59,30433,4.53,0.94,1.40,35.00,35.00,0.00,0.02,-0.54,50.27,nan,1,-0.00,0.00,1.00,12.14,7.90,4.99,3.20,-3.29,57.17,57.17
2026-02-09 07:33:10,0,0,0,,1.40,3.59,30437,4.53,0.95,1.40,35.00,35.00,0.00,0.14,-0.05,50.28,nan,2,0.00,0.00,1.00,12.14,7.89,4.99,3.20,-3.28,57.16,57.16
2026-02-09 07:33:10,0,0,0,,1.40,3.59,30434,4.54,0.94,1.40,35.00,35.00,0.00,0.13,-0.05,50.28,nan,1,-0.00,0.00,1.00,12.14,7.90,4.99,3.20,-3.28,57.17,57.17
2026-02-09 07:33:10,0,0,0,,1.40,3.59,30431,4.53,0.95,1.40,35.00,35.00,0.00,0.13,-0.06,50.29,nan,1,-0.00,0.00,1.00,12.14,7.89,4.99,3.20,-3.28,57.18,57.18
2026-02-09 07:33:11,0,0,0,,1.40,3.59,30431,4.53,0.95,1.40,35.00,35.00,0.00,0.13,-0.06,50.30,nan,1,-0.00,0.00,1.00,12.14,7.90,4.99,3.20,-3.29,57.18,57.18
