Timestamp,peak_wavelength,max_intensity,mean_intensity,std_intensity,total_points,status
2026-01-07 16:49:12,627.2004,2201.00,1582.36,28.21,2048,success
2026-01-07 16:49:12,627.2004,2188.00,1581.75,27.50,2048,success
2026-01-07 16:49:13,627.2004,2192.00,1582.03,27.66,2048,success
2026-01-07 16:49:14,627.2004,2160.00,1582.96,27.37,2048,success
2026-01-07 16:49:14,627.2004,2199.00,1582.55,27.63,2048,success
2026-01-07 16:49:15,627.2004,2194.00,1581.81,27.62,2048,success
2026-01-07 16:49:16,627.2004,2201.00,1581.83,28.15,2048,success
2026-01-07 16:49:16,627.2004,2192.00,1581.42,27.76,2048,success
2026-01-07 16:49:17,627.2004,2187.00,1581.65,27.96,2048,success
2026-01-07 16:49:17,627.2004,2182.00,1581.91,27.54,2048,success
2026-01-07 16:49:18,627.2004,2193.00,1581.15,27.74,2048,success
2026-01-07 16:49:19,627.2004,2194.00,1581.96,27.61,2048,success
2026-01-07 16:49:19,627.2004,2193.00,1582.21,27.82,2048,success
2026-01-07 16:49:20,627.2004,2195.00,1582.52,27.87,2048,success
2026-01-07 16:49:20,627.2004,2205.00,1582.17,27.63,2048,success
2026-01-07 16:49:21,627.2004,2181.00,1581.91,27.85,2048,success
2026-01-07 16:49:22,627.2004,2163.00,1581.64,27.23,2048,success
2026-01-07 16:49:22,627.2004,2199.00,1582.31,27.80,2048,success
2026-01-07 16:49:23,627.2004,2191.00,1581.98,27.61,2048,success
2026-01-07 16:49:24,627.2004,2195.00,1581.24,27.33,2048,success
2026-01-07 16:49:24,627.2004,2191.00,1581.85,27.69,2048,success
2026-01-07 16:49:25,627.2004,2176.00,1581.17,27.52,2048,success
2026-01-07 16:49:25,627.2004,2178.00,1581.52,27.68,2048,success
2026-01-07 16:49:26,627.2004,2197.00,1581.82,27.47,2048,success
2026-01-07 16:49:27,627.2004,2187.00,1581.38,27.76,2048,success
2026-01-07 16:49:27,627.2004,2170.00,1581.63,27.25,2048,success
2026-01-07 16:49:28,627.2004,2188.00,1581.63,27.61,2048,success
2026-01-07 16:49:28,627.2004,2213.00,1581.48,27.96,2048,success
2026-01-07 16:49:29,627.2004,2171.00,1581.18,27.64,2048,success
2026-01-07 16:49:30,627.2004,2191.00,1581.29,26.70,2048,success
2026-01-07 16:49:30,627.2004,2182.00,1581.38,26.47,2048,success
2026-01-07 16:49:31,627.2004,2200.00,1581.38,26.57,2048,success
2026-01-07 16:49:31,627.2004,2183.00,1581.66,26.53,2048,success
2026-01-07 16:49:32,627.2004,2165.00,1581.15,26.27,2048,success
2026-01-07 16:49:33,627.2004,2166.00,1580.79,26.25,2048,success
2026-01-07 16:49:33,627.2004,2180.00,1581.01,26.11,2048,success
2026-01-07 16:49:34,627.2004,2179.00,1581.04,26.18,2048,success
2026-01-07 16:49:35,627.2004,2184.00,1581.67,26.41,2048,success
2026-01-07 16:49:35,627.2004,2190.00,1581.31,26.62,2048,success
2026-01-07 16:49:36,627.2004,2193.00,1581.76,26.34,2048,success
2026-01-07 16:49:36,627.2004,2207.00,1580.42,26.58,2048,success
2026-01-07 16:49:37,627.2004,2183.00,1581.20,26.49,2048,success
2026-01-07 16:49:38,627.2004,2169.00,1581.08,26.16,2048,success
2026-01-07 16:49:38,627.2004,2202.00,1580.62,26.61,2048,success
2026-01-07 16:49:39,627.2004,2185.00,1580.99,26.28,2048,success
2026-01-07 16:49:39,627.2004,2192.00,1581.50,26.58,2048,success
2026-01-07 16:49:40,627.2004,2181.00,1581.37,26.32,2048,success
2026-01-07 16:49:41,627.2004,2195.00,1580.13,26.20,2048,success
2026-01-07 16:49:41,627.2004,2190.00,1580.64,26.20,2048,success
2026-01-07 16:49:42,627.2004,2206.00,1580.98,26.85,2048,success
2026-01-07 16:49:43,627.2004,2193.00,1580.96,26.45,2048,success
2026-01-07 16:49:43,627.2004,2196.00,1580.65,26.40,2048,success
2026-01-07 16:49:44,627.2004,2173.00,1581.50,25.89,2048,success
2026-01-07 16:49:44,627.2004,2185.00,1580.81,26.40,2048,success
2026-01-07 16:49:45,627.2004,2170.00,1580.44,25.82,2048,success
2026-01-07 16:49:46,627.2004,2190.00,1581.02,26.27,2048,success
2026-01-07 16:49:46,627.2004,2175.00,1581.40,26.06,2048,success
2026-01-07 16:49:47,627.2004,2182.00,1580.20,26.14,2048,success
2026-01-07 16:49:47,627.2004,2195.00,1580.60,26.55,2048,success
2026-01-07 16:49:48,627.2004,2160.00,1580.47,25.98,2048,success
2026-01-07 16:49:49,627.2004,2195.00,1580.68,26.38,2048,success
2026-01-07 16:49:49,627.2004,2194.00,1580.84,26.70,2048,success
2026-01-07 16:49:50,627.2004,2189.00,1580.22,26.16,2048,success
2026-01-07 16:49:50,627.2004,2187.00,1580.98,25.89,2048,success
2026-01-07 16:49:51,627.2004,2189.00,1581.01,26.29,2048,success
2026-01-07 16:49:52,627.2004,2174.00,1580.24,25.79,2048,success
2026-01-07 16:49:52,627.2004,2199.00,1580.57,26.34,2048,success
2026-01-07 16:49:53,627.2004,2201.00,1580.93,26.40,2048,success
2026-01-07 16:49:54,627.2004,2191.00,1580.28,26.29,2048,success
2026-01-07 16:49:54,627.2004,2192.00,1581.08,26.26,2048,success
2026-01-07 16:49:55,627.2004,2187.00,1580.58,26.25,2048,success
2026-01-07 16:49:55,627.2004,2177.00,1580.56,26.41,2048,success
2026-01-07 16:49:56,627.2004,2170.00,1580.54,25.87,2048,success
2026-01-07 16:49:57,627.2004,2185.00,1579.53,26.46,2048,success
2026-01-07 16:49:57,627.2004,2171.00,1580.84,26.00,2048,success
2026-01-07 16:49:58,627.2004,2194.00,1579.82,26.03,2048,success
2026-01-07 16:49:58,627.2004,2168.00,1579.99,26.14,2048,success
2026-01-07 16:49:59,627.2004,2171.00,1580.12,26.25,2048,success
2026-01-07 16:50:00,627.2004,2155.00,1580.19,25.86,2048,success
2026-01-07 16:50:00,627.2004,2201.00,1580.18,26.57,2048,success
2026-01-07 16:50:01,627.2004,2205.00,1580.26,26.28,2048,success
2026-01-07 16:50:01,627.2004,2200.00,1580.35,26.66,2048,success
2026-01-07 16:50:02,627.2004,2200.00,1580.78,26.41,2048,success
2026-01-07 16:50:03,627.2004,2171.00,1580.55,26.01,2048,success
2026-01-07 16:50:03,627.2004,2206.00,1579.69,26.55,2048,success
2026-01-07 16:50:04,627.2004,2177.00,1579.96,26.31,2048,success
2026-01-07 16:50:05,627.2004,2203.00,1580.79,26.60,2048,success
