Timestamp,time_since_start_s,charger_diffusion_current_nA,charger_high_voltage_V,electrometer1_mV,electrometer2_mV,electrometer1_amplitude_mV,electrometer2_amplitude_mV,temperature_C,relative_humidity_percent,status,precipitator_voltage_V,battery_voltage_V,flow_lpm,LDSA_um2_cm3,diameter_nm,number_1_cm3,orifice_pressure_Pa,absolute_pressure_mbar
2026-01-07 16:48:29,21543.0,0.0,298.0,-0.31,0.62,4.658,2.366,25.7,45.0,0.0,719.0,4.2,0.5,29.8,83.5,5777.0,4707.0,1013.0
2026-01-07 16:48:30,21544.0,2.0,3373.0,2.12,0.0,4.641,2.034,25.7,45.0,0.0,720.0,4.2,0.499,29.7,83.5,5777.0,4701.0,1013.0
2026-01-07 16:48:31,21545.0,0.0,300.0,-0.5,0.94,4.669,2.084,25.6,45.0,0.0,718.0,4.2,0.5,29.8,83.5,5777.0,4704.0,1013.0
2026-01-07 16:48:32,21546.0,2.0,3372.0,2.31,0.12,4.628,2.043,25.6,45.0,0.0,719.0,4.19,0.5,29.6,83.5,5777.0,4705.0,1013.0
2026-01-07 16:48:33,21547.0,0.0,301.0,-0.25,0.75,4.667,1.49,25.6,45.0,0.0,1200.0,4.19,0.5,29.8,86.2,5489.0,4706.0,1013.0
2026-01-07 16:48:34,21548.0,1.99,3372.0,1.87,0.0,4.744,1.003,25.7,45.0,0.0,1199.0,4.2,0.5,30.3,86.2,5489.0,4703.0,1013.0
2026-01-07 16:48:35,21549.0,0.0,296.0,-0.44,0.19,4.715,0.62,25.7,45.0,0.0,1198.0,4.2,0.5,30.1,86.2,5489.0,4703.0,1013.0
2026-01-07 16:48:36,21550.0,2.0,3373.0,1.31,0.5,4.706,0.306,25.7,45.0,0.0,1198.0,4.2,0.5,30.1,86.2,5489.0,4710.0,1013.0
2026-01-07 16:48:37,21551.0,0.0,298.0,-0.5,0.31,4.661,0.436,25.7,45.0,0.0,1200.0,4.2,0.5,29.8,86.2,5489.0,4702.0,1013.0
2026-01-07 16:48:38,21552.0,2.01,3372.0,1.75,0.0,4.617,0.538,25.7,45.0,0.0,1196.0,4.2,0.5,29.5,86.2,5489.0,4708.0,1013.0
2026-01-07 16:48:39,21553.0,0.0,298.0,-0.12,2.44,4.635,1.156,25.7,45.0,0.0,82.0,4.2,0.5,29.6,85.7,5474.0,4698.0,1013.0
