merge_timestamp,imet_Timestamp,imet_pressure,imet_temp,imet_rel_hum,imet_hum_temp,imet_date,imet_time,imet_longitude,imet_latitude,imet_altitude,imet_sat,pom_Timestamp,pom_Ozone_ppb,pom_Cell_Temperature_K,pom_Cell_Pressure_torr,pom_Photodiode_Voltage_V,pom_Power_Supply_V,pom_Latitude,pom_Longitude,pom_Altitude_m,pom_GPS_Quality,pom_Date,pom_Time,trisonica_Timestamp,trisonica_Wind_Speed,trisonica_Wind_Direction,trisonica_U_Vector,trisonica_V_Vector,trisonica_W_Vector,trisonica_Temperature,trisonica_Relative_Humidity,trisonica_Pressure,trisonica_Compass_Heading,trisonica_Pitch,trisonica_Roll
2025-12-04 10:26:54,2025-12-04 10:26:53,1007.49,+2192,3.43,+2300,2015/10/18,00:19:56,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-04 10:26:55,2025-12-04 10:26:54,1007.54,+2195,3.43,+2303,2015/10/18,00:19:57,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:26:55,00.06,027,-00.02,-00.04,00.03,22.94,38.35,1006.92,-179.1,179.9,026
2025-12-04 10:26:56,2025-12-04 10:26:55,1007.49,+2190,3.41,+2301,2015/10/18,00:19:58,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:26:56,00.04,053,-00.03,-00.03,00.01,22.83,38.35,1006.90,-179.0,179.9,021
2025-12-04 10:26:57,2025-12-04 10:26:56,1007.57,+2192,3.4,+2300,2015/10/18,00:19:59,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:26:57,00.06,006,-00.01,-00.06,00.01,22.76,38.31,1006.90,-179.1,179.9,021
2025-12-04 10:26:58,2025-12-04 10:26:57,1007.51,+2195,3.39,+2301,2015/10/18,00:20:00,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:26:58,00.05,359,00.00,-00.05,00.01,22.84,38.33,1006.90,-179.0,179.9,018
2025-12-04 10:26:59,2025-12-04 10:26:58,1007.5,+2191,3.38,+2300,2015/10/18,00:20:01,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:26:59,00.10,048,-00.07,-00.07,00.03,22.82,38.27,1006.92,-179.0,180.0,020
2025-12-04 10:27:00,2025-12-04 10:26:59,1007.46,+2193,3.39,+2300,2015/10/18,00:20:02,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:27:00,00.06,006,-00.00,-00.04,00.04,22.86,38.22,1006.90,-179.0,180.0,023
2025-12-04 10:27:01,2025-12-04 10:27:00,1007.47,+2194,3.39,+2301,2015/10/18,00:20:03,+0000000000,+0000000000,-00017000,00,2025-12-04 10:27:00,14.8,308.6,740.8,1.4215,12.2,0000.00000,00000.00000,0.0,0,04/12/25,10:28:20,2025-12-04 10:27:01,00.09,054,-00.07,-00.05,00.02,22.68,38.25,1006.92,-179.0,179.9,019
2025-12-04 10:27:02,2025-12-04 10:27:01,1007.47,+2195,3.39,+2301,2015/10/18,00:20:04,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:27:02,00.07,024,-00.02,-00.05,00.05,22.86,38.24,1006.90,-179.0,180.0,019
2025-12-04 10:27:03,2025-12-04 10:27:02,1007.49,+2195,3.39,+2301,2015/10/18,00:20:05,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:27:03,00.03,049,-00.01,-00.01,00.02,22.71,38.15,1006.90,-179.0,180.0,018
2025-12-04 10:27:04,2025-12-04 10:27:03,1007.47,+2192,3.39,+2301,2015/10/18,00:20:06,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:27:04,00.06,355,00.00,-00.05,00.02,22.90,38.18,1006.86,-179.0,179.9,017
2025-12-04 10:27:05,2025-12-04 10:27:04,1007.47,+2195,3.39,+2300,2015/10/18,00:20:07,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:27:05,00.07,011,-00.01,-00.05,00.05,22.85,38.21,1006.88,-179.1,180.0,014
2025-12-04 10:27:06,2025-12-04 10:27:05,1007.52,+2191,3.4,+2301,2015/10/18,00:20:08,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:27:06,00.06,040,-00.03,-00.04,00.02,22.72,38.22,1006.88,-179.0,180.0,026
