Timestamp,peak_wavelength,max_intensity,total_points,status
2025-12-04 10:27:47,627.2004,1954.00,2048,success
2025-12-04 10:27:48,627.2004,1939.00,2048,success
2025-12-04 10:27:49,627.2004,1939.00,2048,success
2025-12-04 10:27:50,627.2004,1950.00,2048,success
2025-12-04 10:27:51,627.2004,1933.00,2048,success
2025-12-04 10:27:52,627.2004,1944.00,2048,success
2025-12-04 10:27:53,627.2004,1945.00,2048,success
2025-12-04 10:27:54,627.2004,1928.00,2048,success
2025-12-04 10:27:55,627.2004,1925.00,2048,success
2025-12-04 10:27:57,627.2004,1933.00,2048,success
2025-12-04 10:27:58,627.2004,1954.00,2048,success
2025-12-04 10:27:59,627.2004,1921.00,2048,success
2025-12-04 10:28:00,627.2004,1946.00,2048,success
2025-12-04 10:28:01,627.2004,1939.00,2048,success
2025-12-04 10:28:02,627.2004,1928.00,2048,success
2025-12-04 10:28:03,627.2004,1952.00,2048,success
2025-12-04 10:28:04,627.2004,1936.00,2048,success
2025-12-04 10:28:05,627.2004,1936.00,2048,success
2025-12-04 10:28:07,627.2004,1929.00,2048,success
2025-12-04 10:28:08,627.2004,1968.00,2048,success
2025-12-04 10:28:09,627.2004,1928.00,2048,success
2025-12-04 10:28:10,627.2004,1970.00,2048,success
2025-12-04 10:28:11,627.2004,1926.00,2048,success
2025-12-04 10:28:12,627.2004,1909.00,2048,success
2025-12-04 10:28:13,627.2004,1959.00,2048,success
2025-12-04 10:28:14,627.2004,1951.00,2048,success
2025-12-04 10:28:15,627.2004,1943.00,2048,success
2025-12-04 10:28:17,627.2004,1942.00,2048,success
2025-12-04 10:28:18,627.2004,1943.00,2048,success
2025-12-04 10:28:19,627.2004,1923.00,2048,success
2025-12-04 10:28:20,627.2004,1949.00,2048,success
2025-12-04 10:28:21,627.2004,1932.00,2048,success
2025-12-04 10:28:22,627.2004,1935.00,2048,success
2025-12-04 10:28:23,627.2004,1940.00,2048,success
2025-12-04 10:28:24,418.0962,2053.00,2048,success
2025-12-04 10:28:25,418.0962,2051.00,2048,success
2025-12-04 10:28:26,418.0962,2063.00,2048,success
2025-12-04 10:28:28,418.0962,2058.00,2048,success
2025-12-04 10:28:29,418.0962,2043.00,2048,success
2025-12-04 10:28:30,418.0962,2050.00,2048,success
2025-12-04 10:28:31,418.0962,2055.00,2048,success
2025-12-04 10:28:32,418.0962,2050.00,2048,success
2025-12-04 10:28:33,418.0962,2043.00,2048,success
2025-12-04 10:28:34,418.0962,2055.00,2048,success
2025-12-04 10:28:35,418.0962,2040.00,2048,success
2025-12-04 10:28:36,418.0962,2044.00,2048,success
2025-12-04 10:28:38,418.0962,2043.00,2048,success
2025-12-04 10:28:39,418.0962,2048.00,2048,success
2025-12-04 10:28:40,418.0962,2040.00,2048,success
2025-12-04 10:28:41,418.0962,2052.00,2048,success
2025-12-04 10:28:42,418.0962,2035.00,2048,success
2025-12-04 10:28:43,418.0962,2043.00,2048,success
2025-12-04 10:28:44,418.0962,2054.00,2048,success
2025-12-04 10:28:45,418.0962,2043.00,2048,success
2025-12-04 10:28:46,418.0962,2030.00,2048,success
2025-12-04 10:28:48,418.0962,2059.00,2048,success
2025-12-04 10:28:49,418.0962,2056.00,2048,success
2025-12-04 10:28:50,418.0962,2058.00,2048,success
2025-12-04 10:28:51,418.0962,2040.00,2048,success
2025-12-04 10:28:52,418.0962,2028.00,2048,success
2025-12-04 10:28:53,418.0962,2027.00,2048,success
2025-12-04 10:28:54,418.0962,2071.00,2048,success
2025-12-04 10:28:55,418.0962,2049.00,2048,success
2025-12-04 10:28:56,418.0962,2039.00,2048,success
2025-12-04 10:28:58,418.0962,2038.00,2048,success
2025-12-04 10:28:59,627.2004,1951.00,2048,success
2025-12-04 10:29:00,627.2004,1933.00,2048,success
2025-12-04 10:29:01,627.2004,1948.00,2048,success
2025-12-04 10:29:02,627.2004,1941.00,2048,success
2025-12-04 10:29:03,627.2004,1957.00,2048,success
2025-12-04 10:29:04,627.2004,1925.00,2048,success
2025-12-04 10:29:05,627.2004,1959.00,2048,success
