merge_timestamp,trisonica_Timestamp,trisonica_Wind_Speed,trisonica_Wind_Direction,trisonica_U_Vector,trisonica_V_Vector,trisonica_W_Vector,trisonica_Temperature,trisonica_Relative_Humidity,trisonica_Pressure,trisonica_Compass_Heading,trisonica_Pitch,trisonica_Roll
2026-01-08 10:20:49,2026-01-08 10:20:49,00.05,072,-00.05,-00.01,00.02,23.04,39.42,1009.74,-179.1,179.3,300
2026-01-08 10:20:50,2026-01-08 10:20:50,00.07,072,-00.06,-00.02,00.03,23.05,39.38,1009.75,-179.1,179.3,301
2026-01-08 10:20:51,2026-01-08 10:20:51,00.08,072,-00.06,-00.02,00.04,23.04,39.40,1009.76,-179.1,179.4,301
2026-01-08 10:20:52,2026-01-08 10:20:52,00.06,104,-00.04,00.01,00.03,23.05,39.40,1009.75,-179.1,179.3,296
2026-01-08 10:20:53,2026-01-08 10:20:53,00.05,099,-00.04,00.01,00.03,23.08,39.40,1009.73,-179.1,179.3,303
2026-01-08 10:20:54,2026-01-08 10:20:54,00.04,078,-00.03,-00.01,00.02,23.11,39.38,1009.76,-179.1,179.3,301
2026-01-08 10:20:55,2026-01-08 10:20:55,00.06,079,-00.05,-00.01,00.03,23.10,39.42,1009.75,-179.1,179.3,302
2026-01-08 10:20:56,2026-01-08 10:20:56,00.06,097,-00.06,00.01,00.03,23.09,39.38,1009.74,-179.1,179.3,301
2026-01-08 10:20:57,2026-01-08 10:20:57,00.06,078,-00.05,-00.01,00.03,23.10,39.43,1009.76,-179.1,179.3,300
2026-01-08 10:20:58,2026-01-08 10:20:58,00.06,086,-00.06,-00.00,00.02,23.10,39.41,1009.72,-179.1,179.3,300
2026-01-08 10:20:59,2026-01-08 10:20:59,00.08,067,-00.07,-00.03,00.04,23.11,39.37,1009.75,-179.1,179.3,300
2026-01-08 10:21:00,2026-01-08 10:21:00,00.08,067,-00.06,-00.03,00.03,23.09,39.37,1009.73,-179.1,179.3,300
2026-01-08 10:21:01,2026-01-08 10:21:01,00.07,084,-00.07,-00.01,00.02,23.09,39.37,1009.73,-179.1,179.3,299
2026-01-08 10:21:02,2026-01-08 10:21:02,00.06,089,-00.06,-00.00,00.03,23.09,39.36,1009.75,-179.1,179.3,302
2026-01-08 10:21:03,2026-01-08 10:21:03,00.04,083,-00.04,-00.00,00.01,23.09,39.37,1009.74,-179.1,179.3,299
2026-01-08 10:21:04,2026-01-08 10:21:04,00.04,095,-00.04,00.00,00.02,23.09,39.38,1009.72,-179.1,179.3,301
2026-01-08 10:21:05,2026-01-08 10:21:05,00.06,065,-00.05,-00.02,00.03,23.14,39.39,1009.71,-179.1,179.3,301
2026-01-08 10:21:06,2026-01-08 10:21:06,00.07,085,-00.06,-00.01,00.03,23.14,39.38,1009.73,-179.1,179.3,299
2026-01-08 10:21:07,2026-01-08 10:21:07,00.06,071,-00.05,-00.02,00.02,23.19,39.34,1009.72,-179.1,179.3,296
2026-01-08 10:21:08,2026-01-08 10:21:08,00.06,096,-00.05,00.01,00.03,23.19,39.36,1009.73,-179.1,179.3,301
2026-01-08 10:21:09,2026-01-08 10:21:09,00.04,077,-00.04,-00.01,00.02,23.20,39.36,1009.75,-179.1,179.4,302
2026-01-08 10:21:10,2026-01-08 10:21:10,00.05,095,-00.05,00.00,00.03,23.18,39.39,1009.75,-179.1,179.3,300
2026-01-08 10:21:11,2026-01-08 10:21:11,00.04,065,-00.03,-00.01,00.03,23.19,39.38,1009.72,-179.1,179.3,301
2026-01-08 10:21:12,2026-01-08 10:21:12,00.05,064,-00.04,-00.02,00.03,23.19,39.39,1009.76,-179.1,179.3,299
2026-01-08 10:21:13,2026-01-08 10:21:13,00.07,057,-00.05,-00.03,00.04,23.18,39.37,1009.75,-179.1,179.4,302
2026-01-08 10:21:14,2026-01-08 10:21:14,00.05,106,-00.05,00.01,00.01,23.19,39.37,1009.73,-179.1,179.3,300
2026-01-08 10:21:15,2026-01-08 10:21:15,00.05,063,-00.04,-00.02,00.02,23.18,39.33,1009.76,-179.1,179.3,300
2026-01-08 10:21:16,2026-01-08 10:21:16,00.07,081,-00.06,-00.01,00.04,23.19,39.41,1009.73,-179.1,179.3,301
2026-01-08 10:21:17,2026-01-08 10:21:17,00.05,054,-00.04,-00.03,00.02,23.20,39.34,1009.73,-179.1,179.3,299
2026-01-08 10:21:18,2026-01-08 10:21:18,00.06,076,-00.05,-00.01,00.03,23.18,39.33,1009.74,-179.1,179.3,302
2026-01-08 10:21:19,2026-01-08 10:21:19,00.06,071,-00.05,-00.02,00.04,23.18,39.33,1009.76,-179.1,179.3,299
2026-01-08 10:21:20,2026-01-08 10:21:20,00.05,076,-00.04,-00.01,00.01,23.16,39.33,1009.75,-179.1,179.3,300
2026-01-08 10:21:21,2026-01-08 10:21:21,00.07,068,-00.06,-00.02,00.03,23.14,39.38,1009.74,-179.1,179.3,298
2026-01-08 10:21:22,2026-01-08 10:21:22,00.05,088,-00.04,-00.00,00.03,23.12,39.34,1009.74,-179.1,179.3,300
2026-01-08 10:21:23,2026-01-08 10:21:23,00.05,080,-00.04,-00.01,00.02,23.13,39.33,1009.76,-179.1,179.3,299
2026-01-08 10:21:24,2026-01-08 10:21:24,00.06,070,-00.05,-00.02,00.03,23.13,39.36,1009.75,-179.0,179.3,300
2026-01-08 10:21:25,2026-01-08 10:21:25,00.07,085,-00.06,-00.01,00.03,23.15,39.31,1009.73,-179.1,179.3,301
