merge_timestamp,imet_Timestamp,imet_pressure,imet_temp,imet_rel_hum,imet_hum_temp,imet_date,imet_time,imet_longitude,imet_latitude,imet_altitude,imet_sat,pom_Timestamp,pom_Ozone_ppb,pom_Cell_Temperature_K,pom_Cell_Pressure_torr,pom_Photodiode_Voltage_V,pom_Power_Supply_V,pom_Latitude,pom_Longitude,pom_Altitude_m,pom_GPS_Quality,pom_Date,pom_Time,trisonica_Timestamp,trisonica_Wind_Speed,trisonica_Wind_Direction,trisonica_U_Vector,trisonica_V_Vector,trisonica_W_Vector,trisonica_Temperature,trisonica_Relative_Humidity,trisonica_Pressure,trisonica_Compass_Heading,trisonica_Pitch,trisonica_Roll,spectro_Timestamp,spectro_peak_wavelength,spectro_max_intensity,spectro_total_points,spectro_status
2025-12-04 10:35:10,2025-12-04 10:35:09,1007.39,+2210,3.34,+2318,2015/10/18,00:28:12,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:35:10,00.04,134,-00.03,00.03,-00.00,22.92,37.41,1006.84,-179.0,179.9,018,,,,,
2025-12-04 10:35:11,2025-12-04 10:35:10,1007.39,+2205,3.34,+2319,2015/10/18,00:28:13,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:35:10,00.12,094,-00.11,00.01,-00.02,23.15,37.40,1006.83,-179.0,180.0,021,,,,,
2025-12-04 10:35:12,2025-12-04 10:35:11,1007.36,+2206,3.34,+2318,2015/10/18,00:28:14,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:35:11,00.08,097,-00.08,00.01,00.00,23.02,37.40,1006.83,-179.0,180.0,019,,,,,
2025-12-04 10:35:13,2025-12-04 10:35:12,1007.4,+2204,3.34,+2318,2015/10/18,00:28:15,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:35:12,00.06,056,-00.03,-00.02,00.04,22.96,37.38,1006.83,-179.0,180.0,018,,,,,
2025-12-04 10:35:14,2025-12-04 10:35:13,1007.44,+2205,3.33,+2318,2015/10/18,00:28:16,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:35:13,00.05,046,-00.03,-00.03,00.03,23.16,37.38,1006.84,-179.0,179.9,024,,,,,
2025-12-04 10:35:15,2025-12-04 10:35:14,1007.4,+2205,3.33,+2319,2015/10/18,00:28:17,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:35:14,00.02,266,00.02,00.00,00.01,23.23,37.39,1006.81,-179.0,179.9,030,,,,,
2025-12-04 10:35:16,2025-12-04 10:35:15,1007.38,+2206,3.34,+2319,2015/10/18,00:28:18,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:35:16,00.01,341,00.00,-00.01,00.00,23.04,37.41,1006.88,-179.0,179.9,024,,,,,
2025-12-04 10:35:17,2025-12-04 10:35:16,1007.36,+2205,3.34,+2319,2015/10/18,00:28:19,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:35:16,00.04,057,-00.02,-00.01,00.03,23.06,37.37,1006.84,-179.0,180.0,023,2025-12-04 10:35:16,627.2004,1983.00,2048,success
2025-12-04 10:35:18,2025-12-04 10:35:17,1007.35,+2206,3.34,+2319,2015/10/18,00:28:20,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:35:17,00.06,128,-00.05,00.04,00.02,23.04,37.38,1006.85,-179.1,179.9,026,2025-12-04 10:35:17,627.2004,1984.00,2048,success
2025-12-04 10:35:19,2025-12-04 10:35:18,1007.34,+2208,3.34,+2318,2015/10/18,00:28:21,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:35:18,00.01,101,-00.01,00.00,00.01,23.03,37.39,1006.84,-179.0,179.9,022,2025-12-04 10:35:18,627.2004,1982.00,2048,success
