Timestamp,peak_wavelength,max_intensity,total_points,status
2025-12-21 11:13:34,627.2004,2075.00,2048,success
2025-12-21 11:13:35,627.2004,2077.00,2048,success
2025-12-21 11:13:36,627.2004,2101.00,2048,success
2025-12-21 11:13:37,627.2004,2085.00,2048,success
2025-12-21 11:13:38,627.2004,2079.00,2048,success
2025-12-21 11:13:39,627.2004,2059.00,2048,success
2025-12-21 11:13:40,627.2004,2081.00,2048,success
2025-12-21 11:13:41,627.2004,2058.00,2048,success
2025-12-21 11:13:42,627.2004,2062.00,2048,success
2025-12-21 11:13:44,627.2004,2084.00,2048,success
2025-12-21 11:13:45,627.2004,2065.00,2048,success
2025-12-21 11:13:46,627.2004,2053.00,2048,success
2025-12-21 11:13:47,627.2004,2056.00,2048,success
2025-12-21 11:13:48,627.2004,2084.00,2048,success
2025-12-21 11:13:49,627.2004,2053.00,2048,success
2025-12-21 11:13:50,627.2004,2059.00,2048,success
2025-12-21 11:13:51,627.2004,2065.00,2048,success
2025-12-21 11:13:53,627.2004,2092.00,2048,success
2025-12-21 11:13:54,627.2004,2052.00,2048,success
2025-12-21 11:13:55,627.2004,2065.00,2048,success
2025-12-21 11:13:56,627.2004,2075.00,2048,success
2025-12-21 11:13:57,627.2004,2053.00,2048,success
2025-12-21 11:13:58,627.2004,2051.00,2048,success
2025-12-21 11:13:59,627.2004,2075.00,2048,success
2025-12-21 11:14:00,627.2004,2060.00,2048,success
2025-12-21 11:14:02,627.2004,2060.00,2048,success
2025-12-21 11:14:03,627.2004,2059.00,2048,success
2025-12-21 11:14:04,627.2004,2043.00,2048,success
2025-12-21 11:14:05,627.2004,2044.00,2048,success
2025-12-21 11:14:06,627.2004,2036.00,2048,success
2025-12-21 11:14:07,627.2004,2080.00,2048,success
2025-12-21 11:14:08,627.2004,2077.00,2048,success
2025-12-21 11:14:09,627.2004,2067.00,2048,success
2025-12-21 11:14:10,627.2004,2079.00,2048,success
2025-12-21 11:14:11,627.2004,2073.00,2048,success
2025-12-21 11:14:13,627.2004,2057.00,2048,success
2025-12-21 11:14:14,627.2004,2065.00,2048,success
2025-12-21 11:14:15,627.2004,2066.00,2048,success
2025-12-21 11:14:16,627.2004,2037.00,2048,success
2025-12-21 11:14:17,627.2004,2065.00,2048,success
2025-12-21 11:14:18,627.2004,2060.00,2048,success
2025-12-21 11:14:19,627.2004,2062.00,2048,success
