merge_timestamp,imet_Timestamp,imet_pressure,imet_temp,imet_rel_hum,imet_hum_temp,imet_date,imet_time,imet_longitude,imet_latitude,imet_altitude,imet_sat,pom_Timestamp,pom_Ozone_ppb,pom_Cell_Temperature_K,pom_Cell_Pressure_torr,pom_Photodiode_Voltage_V,pom_Power_Supply_V,pom_Latitude,pom_Longitude,pom_Altitude_m,pom_GPS_Quality,pom_Date,pom_Time,trisonica_Timestamp,trisonica_Wind_Speed,trisonica_Wind_Direction,trisonica_U_Vector,trisonica_V_Vector,trisonica_W_Vector,trisonica_Temperature,trisonica_Relative_Humidity,trisonica_Pressure,trisonica_Compass_Heading,trisonica_Pitch,trisonica_Roll,spectro_Timestamp,spectro_peak_wavelength,spectro_max_intensity,spectro_mean_intensity,spectro_std_intensity,spectro_total_points,spectro_status,partector2pro_Timestamp,partector2pro_time_since_start_s,partector2pro_charger_diffusion_current_nA,partector2pro_charger_high_voltage_V,partector2pro_electrometer1_mV,partector2pro_electrometer2_mV,partector2pro_electrometer1_amplitude_mV,partector2pro_electrometer2_amplitude_mV,partector2pro_temperature_C,partector2pro_relative_humidity_percent,partector2pro_status,partector2pro_precipitator_voltage_V,partector2pro_battery_voltage_V,partector2pro_flow_lpm,partector2pro_LDSA_um2_cm3,partector2pro_diameter_nm,partector2pro_number_1_cm3,partector2pro_orifice_pressure_Pa,partector2pro_absolute_pressure_mbar
2026-01-14 13:32:18,2026-01-14 13:32:17,1012.81,+2094,4.05,+2197,2015/10/18,00:46:05,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-01-14 13:32:18,00.08,100,-00.08,00.01,00.03,22.42,38.41,1011.99,-179.4,179.7,307,2026-01-14 13:32:18,627.2004,1923.00,1481.48,20.89,2048,success,,,,,,,,,,,,,,,,,,,
2026-01-14 13:32:19,2026-01-14 13:32:18,1012.88,+2097,4.05,+2196,2015/10/18,00:46:06,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-01-14 13:32:19,00.09,092,-00.08,00.00,00.03,22.40,38.39,1011.98,-179.5,179.8,304,2026-01-14 13:32:19,627.2004,1926.00,1481.61,21.25,2048,success,2026-01-14 13:32:18,2545.0,0.0,302.0,0.75,0.81,0.857,0.052,22.9,42.0,0.0,85.0,4.2,0.5,5.4,33.4,2292.0,4706.0,1013.0
2026-01-14 13:32:20,2026-01-14 13:32:19,1012.75,+2096,4.05,+2196,2015/10/18,00:46:07,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-01-14 13:32:20,00.08,089,-00.08,-00.00,00.02,22.40,38.41,1012.02,-179.5,179.8,306,2026-01-14 13:32:20,627.2004,1941.00,1480.94,21.03,2048,success,2026-01-14 13:32:19,2546.0,2.0,3389.0,0.69,-0.25,0.933,0.169,23.0,42.0,0.0,99.0,4.2,0.5,5.9,33.4,2292.0,4708.0,1013.0
2026-01-14 13:32:21,2026-01-14 13:32:20,1012.75,+2096,4.05,+2197,2015/10/18,00:46:08,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-01-14 13:32:21,00.09,105,-00.08,00.02,00.03,22.48,38.40,1012.02,-179.5,179.8,304,2026-01-14 13:32:21,627.2004,1956.00,1479.94,21.35,2048,success,2026-01-14 13:32:20,2547.0,0.0,302.0,0.69,0.87,0.966,0.411,23.0,42.0,0.0,99.0,4.2,0.498,6.1,33.4,2292.0,4679.0,1013.0
2026-01-14 13:32:22,2026-01-14 13:32:21,1012.76,+2096,4.05,+2197,2015/10/18,00:46:09,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-01-14 13:32:22,00.08,081,-00.07,-00.01,00.04,22.72,38.43,1012.00,-179.5,179.8,308,2026-01-14 13:32:22,627.2004,1927.00,1480.21,20.96,2048,success,2026-01-14 13:32:21,2548.0,2.0,3389.0,0.81,0.12,0.969,0.615,23.0,42.0,0.0,98.0,4.2,0.5,6.2,33.4,2292.0,4703.0,1013.0
2026-01-14 13:32:23,2026-01-14 13:32:22,1012.82,+2096,4.05,+2196,2015/10/18,00:46:10,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-01-14 13:32:23,00.07,068,-00.05,-00.02,00.04,22.60,38.41,1011.98,-179.5,179.8,303,2026-01-14 13:32:23,627.2004,1929.00,1480.60,21.34,2048,success,2026-01-14 13:32:22,2549.0,0.0,300.0,0.81,0.81,0.939,0.693,23.0,42.0,0.0,99.0,4.19,0.5,6.0,33.4,2292.0,4703.0,1013.0
2026-01-14 13:32:24,2026-01-14 13:32:23,1012.77,+2097,4.05,+2197,2015/10/18,00:46:11,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-01-14 13:32:24,00.08,073,-00.07,-00.02,00.03,22.46,38.39,1011.97,-179.4,179.8,303,2026-01-14 13:32:24,627.2004,1931.00,1480.76,20.95,2048,success,2026-01-14 13:32:23,2550.0,1.99,3391.0,1.0,-0.12,0.896,0.773,23.0,42.0,0.0,99.0,4.2,0.5,5.7,33.4,2292.0,4707.0,1013.0
2026-01-14 13:32:25,2026-01-14 13:32:24,1012.79,+2093,4.05,+2197,2015/10/18,00:46:12,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-01-14 13:32:25,00.08,094,-00.07,00.01,00.02,22.48,38.44,1012.02,-179.5,179.8,308,2026-01-14 13:32:25,627.2004,1958.00,1480.59,21.42,2048,success,2026-01-14 13:32:24,2551.0,0.0,302.0,0.25,0.56,0.873,0.706,23.0,42.0,0.0,358.0,4.2,0.5,5.5,45.9,1893.0,4704.0,1013.0
2026-01-14 13:32:26,2026-01-14 13:32:25,1012.78,+2091,4.05,+2197,2015/10/18,00:46:13,+0000000000,+0000000000,-00017000,00,2026-01-14 13:32:26,8.1,308.4,744.4,1.5062,12.2,0000.00000,00000.00000,0.0,0,14/01/26,13:39:03,2026-01-14 13:32:26,00.09,079,-00.08,-00.02,00.02,22.62,38.45,1011.99,-179.5,179.8,304,2026-01-14 13:32:26,627.2004,1942.00,1481.12,20.95,2048,success,2026-01-14 13:32:25,2552.0,1.98,3387.0,0.5,-0.06,0.921,0.655,23.0,42.0,0.0,359.0,4.2,0.499,5.8,45.9,1893.0,4657.0,1013.0
2026-01-14 13:32:27,2026-01-14 13:32:26,1012.81,+2092,4.05,+2197,2015/10/18,00:46:14,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-01-14 13:32:27,00.06,097,-00.06,00.01,00.03,22.82,38.43,1012.00,-179.4,179.8,303,2026-01-14 13:32:27,627.2004,1922.00,1480.54,21.04,2048,success,2026-01-14 13:32:26,2553.0,0.0,302.0,0.75,0.5,0.968,0.625,23.0,42.0,0.0,359.0,4.19,0.5,6.2,45.9,1893.0,4700.0,1013.0
