merge_timestamp,imet_Timestamp,imet_pressure,imet_temp,imet_rel_hum,imet_hum_temp,imet_date,imet_time,imet_longitude,imet_latitude,imet_altitude,imet_sat,pom_Timestamp,pom_Ozone_ppb,pom_Cell_Temperature_K,pom_Cell_Pressure_torr,pom_Photodiode_Voltage_V,pom_Power_Supply_V,pom_Latitude,pom_Longitude,pom_Altitude_m,pom_GPS_Quality,pom_Date,pom_Time,trisonica_Timestamp,trisonica_Wind_Speed,trisonica_Wind_Direction,trisonica_U_Vector,trisonica_V_Vector,trisonica_W_Vector,trisonica_Temperature,trisonica_Relative_Humidity,trisonica_Pressure,trisonica_Compass_Heading,trisonica_Pitch,trisonica_Roll,spectro_Timestamp,spectro_peak_wavelength,spectro_max_intensity,spectro_total_points,spectro_status,partector2pro_Timestamp,partector2pro_time_since_start_s,partector2pro_charger_diffusion_current_nA,partector2pro_charger_high_voltage_V,partector2pro_electrometer1_mV,partector2pro_electrometer2_mV,partector2pro_electrometer1_amplitude_mV,partector2pro_electrometer2_amplitude_mV,partector2pro_temperature_C,partector2pro_relative_humidity_percent,partector2pro_status,partector2pro_precipitator_voltage_V,partector2pro_battery_voltage_V,partector2pro_flow_lpm,partector2pro_LDSA_um2_cm3,partector2pro_diameter_nm,partector2pro_number_1_cm3,partector2pro_orifice_pressure_Pa,partector2pro_absolute_pressure_mbar
2026-01-07 13:44:22,2026-01-07 13:44:21,1012.86,+2304,3.73,+2426,2015/10/18,02:49:17,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-01-07 13:44:21,00.11,138,-00.07,00.08,-00.01,23.24,38.17,1012.14,-177.4,-179.2,355,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-07 13:44:23,2026-01-07 13:44:22,1012.86,+2305,3.73,+2424,2015/10/18,02:49:18,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-01-07 13:44:22,00.12,066,-00.11,-00.05,00.03,23.39,38.17,1012.17,-177.5,-179.2,356,,,,,,2026-01-07 13:44:22,10496.0,1.99,3368.0,2.0,-1.19,5.903,4.76,26.0,38.0,0.0,360.0,4.2,0.5,37.7,56.9,10094.0,4700.0,1013.0
2026-01-07 13:44:24,2026-01-07 13:44:23,1012.92,+2313,3.73,+2426,2015/10/18,02:49:19,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-01-07 13:44:23,00.07,105,-00.07,00.02,00.00,23.23,38.17,1012.14,-177.5,-179.2,358,,,,,,2026-01-07 13:44:23,10497.0,0.0,300.0,-0.56,1.38,5.874,4.435,26.0,38.0,0.0,359.0,4.2,0.5,37.5,56.9,10094.0,4700.0,1013.0
2026-01-07 13:44:25,2026-01-07 13:44:24,1012.86,+2301,3.73,+2424,2015/10/18,02:49:20,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-01-07 13:44:24,00.07,117,-00.06,00.03,00.01,23.27,38.16,1012.15,-177.4,-179.2,354,,,,,,2026-01-07 13:44:24,10498.0,2.01,3367.0,1.75,-1.31,5.913,4.213,26.0,38.0,0.0,359.0,4.2,0.5,37.8,56.9,10094.0,4704.0,1013.0
2026-01-07 13:44:26,2026-01-07 13:44:25,1012.91,+2306,3.72,+2426,2015/10/18,02:49:21,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-01-07 13:44:25,00.08,129,-00.06,00.05,-00.00,23.23,38.19,1012.12,-177.5,-179.2,354,,,,,,2026-01-07 13:44:25,10499.0,0.0,297.0,-0.31,1.37,5.885,4.182,25.9,38.0,0.0,359.0,4.2,0.499,37.6,56.9,10094.0,4698.0,1013.0
2026-01-07 13:44:27,2026-01-07 13:44:26,1012.91,+2312,3.72,+2426,2015/10/18,02:49:22,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-01-07 13:44:26,00.03,155,-00.01,00.02,00.01,23.34,38.17,1012.14,-177.5,-179.2,357,,,,,,2026-01-07 13:44:26,10500.0,2.0,3367.0,2.19,-1.19,5.907,4.07,25.9,38.0,0.0,360.0,4.2,0.5,37.8,56.9,10094.0,4703.0,1013.0
2026-01-07 13:44:28,2026-01-07 13:44:27,1012.9,+2309,3.72,+2424,2015/10/18,02:49:23,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-01-07 13:44:27,00.06,152,-00.03,00.05,00.03,23.37,38.17,1012.17,-177.5,-179.2,356,,,,,,2026-01-07 13:44:27,10501.0,0.0,298.0,-0.5,0.12,5.956,3.562,25.9,38.0,0.0,721.0,4.2,0.5,38.1,68.1,9004.0,4703.0,1013.0
2026-01-07 13:44:29,2026-01-07 13:44:28,1012.87,+2308,3.72,+2426,2015/10/18,02:49:24,+0000000000,+0000000000,-00017000,00,2026-01-07 13:44:28,32.3,309.9,745.4,1.5005,12.2,0000.00000,00000.00000,0.0,0,07/01/26,13:49:58,2026-01-07 13:44:28,00.07,132,-00.06,00.05,00.00,23.19,38.20,1012.14,-177.5,-179.2,354,,,,,,2026-01-07 13:44:28,10502.0,2.01,3365.0,2.0,-0.13,5.99,3.038,26.0,38.0,0.0,719.0,4.2,0.5,38.3,68.1,9004.0,4706.0,1013.0
2026-01-07 13:44:30,2026-01-07 13:44:29,1012.89,+2307,3.72,+2426,2015/10/18,02:49:25,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-01-07 13:44:29,00.06,144,-00.03,00.04,00.03,23.23,38.17,1012.18,-177.5,-179.2,356,,,,,,2026-01-07 13:44:29,10503.0,0.0,300.0,-0.44,0.69,6.008,2.59,26.0,38.0,0.0,721.0,4.2,0.5,38.4,68.1,9004.0,4704.0,1013.0
2026-01-07 13:44:31,2026-01-07 13:44:30,1012.84,+2308,3.72,+2426,2015/10/18,02:49:26,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-01-07 13:44:31,00.02,020,-00.01,-00.02,-00.00,23.31,38.14,1012.17,-177.4,-179.2,354,,,,,,2026-01-07 13:44:30,10504.0,2.0,3368.0,1.75,-0.25,6.0,2.161,26.0,38.0,0.0,721.0,4.2,0.5,38.4,68.1,9004.0,4711.0,1013.0
2026-01-07 13:44:32,2026-01-07 13:44:31,1012.89,+2304,3.72,+2426,2015/10/18,02:49:27,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-01-07 13:44:32,00.09,037,-00.05,-00.07,00.03,23.46,38.13,1012.14,-177.5,-179.2,355,,,,,,2026-01-07 13:44:31,10505.0,0.0,294.0,-0.81,0.94,5.972,2.196,25.9,38.0,0.0,720.0,4.2,0.5,38.2,68.1,9004.0,4704.0,1013.0
2026-01-07 13:44:33,2026-01-07 13:44:32,1012.95,+2307,3.72,+2424,2015/10/18,02:49:28,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-01-07 13:44:33,00.08,096,-00.08,00.01,00.03,23.64,38.16,1012.14,-177.5,-179.2,353,,,,,,2026-01-07 13:44:32,10506.0,1.99,3363.0,2.0,0.06,5.906,2.236,25.9,38.0,0.0,720.0,4.2,0.5,37.8,68.1,9004.0,4699.0,1013.0
2026-01-07 13:44:34,2026-01-07 13:44:33,1012.88,+2306,3.72,+2424,2015/10/18,02:49:29,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-01-07 13:44:34,00.04,043,-00.03,-00.03,00.02,23.46,38.12,1012.15,-177.5,-179.2,354,,,,,,2026-01-07 13:44:33,10507.0,0.0,296.0,-0.69,0.75,5.923,1.387,25.9,38.0,0.0,1200.0,4.2,0.5,37.9,52.0,10347.0,4711.0,1013.0
2026-01-07 13:44:35,2026-01-07 13:44:34,1012.88,+2306,3.72,+2426,2015/10/18,02:49:30,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-01-07 13:44:35,00.04,101,-00.03,00.01,00.02,23.55,38.19,1012.16,-177.4,-179.2,355,,,,,,2026-01-07 13:44:34,10508.0,2.0,3367.0,1.94,0.13,5.881,0.852,26.0,38.0,0.0,1200.0,4.2,0.5,37.6,52.0,10347.0,4705.0,1013.0
2026-01-07 13:44:36,2026-01-07 13:44:35,1012.86,+2304,3.72,+2424,2015/10/18,02:49:31,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-01-07 13:44:36,00.08,131,-00.06,00.05,00.01,23.39,38.14,1012.18,-177.5,-179.1,356,,,,,,2026-01-07 13:44:35,10509.0,0.0,300.0,-0.44,0.44,5.887,0.46,26.0,38.0,0.0,1200.0,4.2,0.499,37.6,52.0,10347.0,4693.0,1013.0
2026-01-07 13:44:37,2026-01-07 13:44:36,1012.92,+2303,3.72,+2426,2015/10/18,02:49:32,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2026-01-07 13:44:37,00.08,099,-00.07,00.01,00.02,23.52,38.14,1012.11,-177.5,-179.1,353,,,,,,2026-01-07 13:44:36,10510.0,2.0,3365.0,1.81,0.31,5.911,0.173,26.0,38.0,0.0,1199.0,4.18,0.5,37.8,52.0,10347.0,4703.0,1013.0
