merge_timestamp,imet_Timestamp,imet_pressure,imet_temp,imet_rel_hum,imet_hum_temp,imet_date,imet_time,imet_longitude,imet_latitude,imet_altitude,imet_sat,pom_Timestamp,pom_Ozone_ppb,pom_Cell_Temperature_K,pom_Cell_Pressure_torr,pom_Photodiode_Voltage_V,pom_Power_Supply_V,pom_Latitude,pom_Longitude,pom_Altitude_m,pom_GPS_Quality,pom_Date,pom_Time,trisonica_Timestamp,trisonica_Wind_Speed,trisonica_Wind_Direction,trisonica_U_Vector,trisonica_V_Vector,trisonica_W_Vector,trisonica_Temperature,trisonica_Relative_Humidity,trisonica_Pressure,trisonica_Compass_Heading,trisonica_Pitch,trisonica_Roll
2025-12-03 11:35:10,2025-12-03 11:35:09,1010.13,+2289,3.45,+2399,2015/10/18,02:05:40,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-03 11:35:10,00.08,118,-00.07,00.03,00.04,23.50,37.94,1009.65,179.5,179.8,218
2025-12-03 11:35:11,2025-12-03 11:35:10,1010.13,+2290,3.45,+2399,2015/10/18,02:05:41,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-03 11:35:11,00.09,136,-00.06,00.06,00.03,23.46,37.90,1009.64,179.5,179.8,215
2025-12-03 11:35:12,2025-12-03 11:35:11,1010.15,+2291,3.45,+2397,2015/10/18,02:05:42,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-03 11:35:12,00.07,131,-00.05,00.04,00.03,23.44,37.93,1009.64,179.5,179.8,219
2025-12-03 11:35:13,2025-12-03 11:35:12,1010.19,+2288,3.45,+2399,2015/10/18,02:05:43,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-03 11:35:13,00.05,127,-00.04,00.03,00.02,23.48,37.90,1009.67,179.5,179.8,217
2025-12-03 11:35:14,2025-12-03 11:35:13,1010.16,+2291,3.45,+2397,2015/10/18,02:05:44,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-03 11:35:14,00.08,109,-00.07,00.03,00.03,23.54,37.93,1009.65,179.5,179.8,216
2025-12-03 11:35:15,2025-12-03 11:35:14,1010.11,+2289,3.45,+2399,2015/10/18,02:05:45,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-03 11:35:15,00.10,117,-00.08,00.04,00.04,23.51,37.93,1009.64,179.5,179.8,216
2025-12-03 11:35:16,2025-12-03 11:35:15,1010.16,+2295,3.45,+2399,2015/10/18,02:05:46,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-03 11:35:16,00.11,116,-00.09,00.04,00.04,23.64,37.90,1009.64,179.5,179.8,218
2025-12-03 11:35:17,2025-12-03 11:35:16,1010.18,+2292,3.45,+2399,2015/10/18,02:05:47,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-03 11:35:17,00.06,129,-00.04,00.03,00.04,23.66,37.92,1009.63,179.5,179.7,213
2025-12-03 11:35:18,2025-12-03 11:35:17,1010.16,+2289,3.45,+2399,2015/10/18,02:05:48,+0000000000,+0000000000,-00017000,00,2025-12-03 11:35:17,5.3,310.1,744.3,1.4539,12.2,0000.00000,00000.00000,0.0,0,03/12/25,11:36:24,2025-12-03 11:35:18,00.09,117,-00.07,00.04,00.04,23.67,37.90,1009.65,179.5,179.8,216
2025-12-03 11:35:19,2025-12-03 11:35:18,1010.22,+2290,3.45,+2399,2015/10/18,02:05:49,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-03 11:35:19,00.08,121,-00.06,00.03,00.04,23.70,37.87,1009.62,179.5,179.7,213
